차량명,연식,주행거리,가격
기아 카니발 (4세대) 디젤 2.2 (9인승) 프레스티지,22년 3월식,"60,277km","2,600만원"
현대 아이오닉 5 롱레인지 프레스티지,24년 3월식,"19,603km","3,930만원"
기아 셀토스 가솔린 터보 1.6 2WD 시그니처,22년 4월식(23년형),"89,370km","1,890만원"
기아 K7 프리미어 가솔린 2.5 프레스티지,21년 2월식,"74,258km","1,720만원"
기아 쏘렌토 4세대 디젤 2.2 4WD 시그니처,21년 11월식(22년형),"79,769km","3,070만원"
제네시스 G90 (RS4) 가솔린 AWD 3.5 터보,22년 12월식(23년형),"84,436km","5,650만원"
현대 그랜저 하이브리드 (GN7) 가솔린 터보 1.6 하이브리드 익스클루시브,23년 3월식,"43,736km","3,600만원"
기아 K8 하이브리드 노블레스,23년 2월식,"91,376km","2,580만원"
아우디 A6 (C8) 가솔린 4WD 45 TFSI 콰트로 프리미엄,22년 1월식,"79,238km","3,710만원"
기아 K7 프리미어 가솔린 2.5 X 에디션,21년 1월식,"107,047km","2,120만원"
기아 더 뉴 K3 2세대 프레스티지,22년 6월식,"92,801km","1,490만원"
현대 아반떼 AD 1.6 GDI 밸류 플러스,17년 12월식(18년형),"73,045km",990만원
현대 그랜저 (GN7) LPG 3.5 (일반인) 프리미엄,23년 12월식,"41,992km","3,180만원"
아우디 A4 (B9) 40 TFSI 프리미엄,19년 12월식,"52,035km","1,890만원"
기아 K8 가솔린 2.5 노블레스,22년 8월식(23년형),"47,265km","2,550만원"
제네시스 G80 (RG3 F/L) 가솔린 터보 2.5 4WD,24년 3월식(25년형),"31,979km","5,970만원"
제네시스 GV70 가솔린 터보 2.5 AWD,22년 6월식(23년형),"58,169km","3,790만원"
제네시스 GV70 가솔린 터보 2.5 AWD,23년 6월식,"37,971km","4,490만원"
현대 더 뉴 그랜드 스타렉스 밴 5인승 모던,21년 3월식,"43,270km","1,850만원"
제네시스 G90 (RS4) 가솔린 AWD 3.5 터보,23년 1월식,"60,627km","7,690만원"
기아 K7 하이브리드 700h 프레스티지,15년 8월식,"133,226km",930만원
현대 그랜저 IG 2.4 프리미엄 스페셜,17년 3월식(18년형),"55,391km","1,550만원"
볼보 S90 B5 인스크립션,21년 3월식,"74,333km","3,180만원"
현대 포터2 LPi 2.5 터보 카고 더블캡 장축 4WD 프리미엄,24년 12월식(25년형),"8,448km","2,080만원"
기아 K8 하이브리드 노블레스 라이트,23년 3월식,"60,930km","2,660만원"
